"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Exportaciones de bienes y servicios (% del crecimiento anual)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Exportaciones de bienes y servicios (% del crecimiento anual)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","-2.82782810121495","-3.20329150334638","6.55264673223202","6.94399546528695","-8.96487396677507","-1.13752102801237","4.94840667994336","1.46079230313059","1.41369952011729","0.110931540756098","1.23191472663908","2.73926526708171","-0.972853332216104","-4.32313739013573","-2.44849880169353","5.22009665507626","7.84831022508894","3.66578289711839","7.82099508158107","8.43411105197013","3.2717335510043","9.5078711681315","27.7784482952578","0.0502455575194887","5.52428726441715","7.58524071841748","10.1828904750044","6.61615775182969","7.65637356073458","9.58859806044423","11.1324103137347","7.69064800638721","-4.44464533485203","6.73653003554098","-38.612210703197","-14.7582624985194","4.99184110647984","7.13649505077917","-3.33109880539378","-3.13538140039392","4.87907683439359","3.35310791006917","-2.53511510898402","-11.6866072303228","9.41223965176788","10.1314966406967","2.12464752483841",
"Afganistán","AFG","Exportaciones de bienes y servicios (% del crecimiento anual)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.24332933103564","18.6125162428067","-9.02767754525135",
"","AFW","Exportaciones de bienes y servicios (% del crecimiento anual)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exportaciones de bienes y servicios (% del crecimiento anual)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.3","13.0900000052014","22.9299999829965","14.2900000046068","16.5600000038545","10.6200000007288","-2.65051888854518","-2.37893217223176","-5.12410133699206","5.19986450416778","-1.17390075820295","0.704632329216977","-14.6893227263778","-18.3955246168033","24.543676750422","-7.61397216450526","-17.4151716389871","-7.34159203606634","-8.55846521367228","3.27058354217731","-6.18477627312238",
"Albania","ALB","Exportaciones de bienes y servicios (% del crecimiento anual)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-18.274438113663","33.8334785161329","73.0967868819155","38.881300255833","15.4561688687068","3.55236879624165","11.7732511823517","18.4838615955115","24.2668566551852","16.9274279998934","19.112200926023","-4.62556700232236","4.71153592050464","19.1935796783864","6.67409513862462","0.29359035302366","1.58899550305181","1.15280129623858","0.969353009075462","11.3405971389877","13.243457449411","4.02575803144475","2.48007529286791","-27.725543005698","52.0973691717361","17.0424879828345","9.45351410267845",
"Andorra","AND","Exportaciones de bienes y servicios (% del crecimiento anual)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Exportaciones de bienes y servicios (% del crecimiento anual)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.238488818125788","14.9830310807831","11.3661380817021","8.4789225563221","6.71744968155178","5.60520083806783","7.20849341469449","-6.30993232271419","9.51270397638085","-11.1915573257109","8.60564334050818","1.62066437606236","-0.268002516025675","1.92385847149679","2.92598978735073","4.48401641601967","6.05497842204569","-1.03166046825508","-8.45456157825112","4.64838795421052","13.885540006571","4.70713657240201",
"Emiratos Árabes Unidos","ARE","Exportaciones de bienes y servicios (% del crecimiento anual)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.15040873722816","22.9101961292845","24.5443845778458","11.4822553747325","11.5312446725109","8.83206540009569","12.4352245847308","-4.29925555993508","6.25981032110805","16.0662242285549","15.6651707597599","7.06098995330271","4.12697652746401","2.72546732196255","5.21396566939509","-0.319116777112058","1.68171160830599","0.751709035488474","3.8488408495508","4.0814129576962","8.45957295630863","6.87975755537529",
"Argentina","ARG","Exportaciones de bienes y servicios (% del crecimiento anual)","NE.EXP.GNFS.KD.ZG","","-10.6385917355775","45.2384632340366","0","-8.19666133364947","8.92850026232637","16.3934313365593","0","-7.04215598889746","21.2120723743181","1.20010411876612","-9.93094420365617","2.02958608360994","13.9785899922328","0.235738441573631","-9.2941585255204","31.5176565526492","27.317771938281","8.90726991607747","-3.20050013520199","-5.1428624049782","5.20390651074788","3.94655240583394","2.58260584774649","-2.59149777144786","15.5540238484381","-10.2703411884969","-3.48199917023786","18.7195656086271","7.43032372210975","18.011603252764","-3.62414435995726","-1.02969443918937","3.98319867911239","15.2955689817863","22.5281446861923","7.64679488927655","12.1774408238905","10.6233930631356","-1.26027793880733","2.70239130860458","2.74099076017254","3.09295518587496","5.99536820219664","8.11415798951984","12.8868304227088","5.56120323520517","8.16445191719141","0.73987446873889","-9.3471064312958","13.8969136234784","4.14881478412255","-4.10831132628213","-3.52024034290045","-6.97916743435549","-2.77737294006695","5.31735410754007","2.61539095219052","0.645996251439556","9.75102540356465","-17.4377108754675","8.45304479532243","4.60621479749331","-7.51263224246333",
