"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.32","31.146","14.439","14.271","16.163","14.427","15.419","9.64","15.244","14.57","17.403","7.052","11.576","7.806","7.087","","",
"Samoa Americana","ASM","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.52","","","","","",
"Australia","AUS","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.74","","12.72","11.45","","10.25","10.65","9.96","9.58","8.68","8.77","7.99","9.24","9.56","9.23","9.07","8.61","9.24","8.63","9.82","10.54","10.08","10.19","9.826","9.852","10.905","9.674","7.71","8.035",
"Austria","AUT","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4","6.394","7.384","7.761","9.23","7.457","8.049","6.941","7.997","8.731","10.88","11.122","10.598","9.644","8.788","11.15","9.613","9.621","10.158","10.882","11.407","11.147","12.659","13.005","11.453","10.715","11.533","14.347","12.417","12.658",
"Azerbaiyán","AZE","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.21","20.96","8.13","9.09","11.16","9.54","","9.24","9.41","9.35","8.96","10.19","10.04","15.51","13.06","12.31","",
"Burundi","BDI","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.586","","","","","","","","3.17","","","","","","0.659","","","",
"Bélgica","BEL","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.428","11.903","13.892","13.712","14.557","14.313","14.634","13.642","10.257","10.842","11.187","11.625","11.986","13.863","12.792","11.785","11.577","12.814","13.92","13.206","13.202","15.086","15.33","15.995","15.404","13.862","12.123","10.788","11.62","13.661","13.461","12.656",
"Benin","BEN","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.456","","","","","","","","1.139","","","1.647","",
"Burkina Faso","BFA","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.019","","","","6.447","2.913","","","2.651","7.238",
"Bangladesh","BGD","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.092","","","","3.109","","","3.816","","","3.23","3.454","","","","","3.838","",
"Bulgaria","BGR","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.999","33.15","29.646","24.575","20.896","19.434","19.45","16.69","13.601","15.236","21.044","26.014","27.908","28.126","27.21","23.714","20.73","18.479","14.638","12.351","14.127","14.067","12.314","12.485",
"Bahrein","BHR","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.53","1.5","","","","","","","","","","","",
"Bahamas","BHS","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.87","","","","","","","","","","","","","","","","","","","","","","","","","18.349","","","","16.86",
"Bosnia y Herzegovina","BIH","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.031","","","","","37.102","37.802","28.39","31.119","31.001","30.925","27.752","29.445","30.5","28.928","26.292","19.716","20.133","15.005","19.726","16.737","16.087","13.894",
"Belarús","BLR","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.393","13.248","10.522","8.709","11.043","11.071","10.649","10.547",
"Belice","BLZ","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.73","","","","","","","16.02","8.74","8.557","7.756","6.665","6.545","11.424","9.937","32.846","","","",
"Bermudas","BMU","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.07","","","","","","","","","4.55","4.2","","12","","","","","","","","","","","",
"Bolivia","BOL","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.296","5.276","5.24","2.807","3.074","5.88","1.52","","5.052","3.57","5.708","4.531","","2.399","5.006","4.167","3.531","2.437","2.887","","2.158","1.625","2.838","1.789","2.917","2.763","2.815","2.486","2.913","6.711","3.343","2.477","1.777",
"Brasil","BRA","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.703","6.288","","7.453","","","8.98","10.024","11.136","12.552","13.404","","12.864","12.588","13.075","11.775","12.416","11.199","10.516","9.305","10.685","","8.735","7.005","6.884","6.653","8.827","13.65","15.479","14.82","14.639","16.855","16.28","11.877","10.549",
"Barbados","BRB","Personas desempleadas con educación básica (% del desempleo total)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.37","","","","","","1.93","","","","","","","","","","","","11.147","8.843","9.866","9.57","9.431","","12.487","","",
