"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.791","","","","6.556","","","6.977","","","9.71","8.483","","","","","6.413","",
"Bulgaria","BGR","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.817","19.362","17.666","12.499","11.252","9.217","7.694","5.761","4.729","5.933","10.038","10.204","11.567","12.368","10.8","8.384","6.766","5.147","4.703","3.39","4.635","5.216","4.007","4.136",
"Bahrein","BHR","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58","1.54","","","","","","","","","","","",
"Bahamas","BHS","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.77","","","","9.774",
"Bosnia y Herzegovina","BIH","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.645","","","","","25.958","30.035","24.522","25.048","28.641","29.118","29.744","29.244","28.066","29.199","26.179","21.693","18.902","16.377","16.223","15.621","13.058","11.003",
"Belarús","BLR","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.943","6.6","5.611","5.039","4.562","4.6","4.07","4",
"Belice","BLZ","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.74","","","","","","","13.65","10.673","9.801","9.765","9.389","9.604","10.584","10.102","30.599","","","",
"Bermudas","BMU","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.13","","","","","","","","","5.42","5.01","","5.63","","","","","","","","","","","",
"Bolivia","BOL","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.975","7.182","8.297","3.68","4.69","","","","8.259","","8.99","7.206","","8.446","8.244","8.805","10.448","4.494","3.774","","3.649","2.991","2.87","3.097","4.593","4.847","5.014","5.03","5.163","10.702","6.782","4.917","4.037",
"Brasil","BRA","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.768","3.457","","8.062","","","6.727","7.379","8.992","10.037","11.693","","11.208","11.947","12.386","11.454","11.819","10.983","10.891","9.678","10.922","","8.637","4.146","4.274","4.027","7.408","13.298","14.388","13.974","13.539","15.828","15.041","10.415","8.962",
"Barbados","BRB","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.628","10.865","10.059","9.012","9.781","","13.024","","",
"Brunei Darussalam","BRN","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.511","","","9.865","8.713","6.518","7.66","4.863","4.757","4.633",
"Bhután","BTN","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.01","8.81","","7.27","7.29","","7.07","","","10.898","9.082","15.287","14.305","17.649","7.894",
"Botswana","BWA","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.645","24.95","","","","","","","","","24.728","28.098","29.354","29.526","29.242",
