"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.625","","","","3.891","","","7.005","","","9.03","10.736","","","","","11.777","",
"Bulgaria","BGR","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.695","8.841","8.225","6.78","5.789","4.312","3.999","2.439","2.007","2.953","4.116","5.108","5.251","6.474","5.244","3.922","3.571","2.802","2.253","2.051","2.159","2.096","1.589","1.872",
"Bahrein","BHR","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.46","","","","","","","","","","","",
"Bahamas","BHS","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.24","","","","","","","","","","","","","","","","","","","","","","","","","3.346","","","","3.101",
"Bosnia y Herzegovina","BIH","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.681","9.79","9.862","15.456","14.643","19.096","16.921","21.06","20.455","21.364","16.706","15.369","13.267","12.663","11.992","10.491","8.598",
"Belarús","BLR","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.994","3.168","2.743","2.173","2.747","2.24","2.368","2.204",
"Belice","BLZ","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.22","","","","","","","9.69","5.833","6.374","5.347","5.396","3.899","6.105","7.019","8.675","","","",
"Bermudas","BMU","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.73","","","","","","","","","2.82","2.33","","4.37","","","","","","","","","","","",
"Bolivia","BOL","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.945","3.674","4.873","2.647","2.948","9.02","6.79","","2.074","11.4","4.208","5.59","","7.531","7.655","6.194","8.02","4.613","6.304","","3.118","4.05","4.441","3.208","3.77","6.208","6.416","5.993","5.286","13.033","8.208","5.148","4.847",
"Brasil","BRA","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.43","","3.291","","","2.567","3.239","3.531","3.794","4.498","","4.004","3.949","4.399","4.062","4.2","4.129","4.306","4.211","4.366","","3.848","1.083","1.392","1.297","5.079","6.272","6.929","6.755","6.733","7.429","7.523","5.064","4.247",
"Barbados","BRB","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.72","","","","","","5.22","","","","","","","","","","","","5.232","4.565","4.079","5.207","4.166","","5.086","","",
"Brunei Darussalam","BRN","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.543","","","7.478","8.756","5.892","6.508","3.918","6.631","6.138",
"Bhután","BTN","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.12","18.27","","13.74","","","11.517","10.278","15.075","11.473","12.004","9.331",
"Botswana","BWA","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.169","","","4.373","6.9","","","","","","","","","15.252","16.553","14.207","18.482","15.812",
"República Centroafricana","CAF","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canadá","CAN","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.445","7.026","7.891","8.198","7.652","6.838","7.024","6.459","5.747","5.296","4.704","5.322","5.607","5.639","5.315","5.036","4.809","4.463","4.682","6.248","6.106","5.679","5.617","5.357","5.369","5.321","5.512","5.117","4.626","4.441","7.609","5.944","4.12","4.236",
"Europa Central y del Báltico","CEB","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.46860961837115","2.76174848513746","3.41330018630209","4.31353783930978","4.8322950742135","5.59394833171282","6.29741037448292","6.28225152607394","5.95909476839337","5.67720584816698","4.97912456267071","3.80888668606747","3.28282857748506","4.66305863422415","5.55561820034047","5.37990675198505","5.70003120107685","5.93015480918083","5.11463201867421","4.37527174163271","3.68682765156312","3.00409619052432","2.48248974881567","2.22622379888797","2.59519176209416","2.39881079063474","1.99978947690876","1.87939888750948",
"Suiza","CHE","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44","2.097","2.162","2.472","1.857","2.764","4.476","3.031","1.852","1.369","1.463","2.209","2.986","2.71","2.801","2.42","2.188","1.906","2.736","2.958","3.01","3.045","3.308","3.507","3.68","3.251","3.798","3.499","3.229","3.509","3.334","3.01","3.07",
"Islas del Canal","CHI","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.047","","3.211","","","4.476","","","5.82","7.05","","6.505","5.808","5.54","5.256","4.836","5.066","4.839","5.992","7.076","7.615","6.829","9.231","7.886","6.748","7.015",
