Country Name,Happiness_Score 2015,Happiness_Score 2016,Happiness_Score 2017,Happiness_Score 2018,Happiness_Score 2019,Family 2015,Family 2016,Family 2017,Family 2018,Family 2019,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Trust_(Government_Corruption) 2015,Trust_(Government_Corruption) 2016,Trust_(Government_Corruption) 2017,Trust_(Government_Corruption) 2018,Trust_(Government_Corruption) 2019,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019
Grecia,4.857,5.033,5.22700023651123,5.358,5.287,0.92933,0.75473,1.23941457271576,1.202,1.156,0.07699,0.05822,0.0957312509417534,0.131,0.067,0.01397,0.04127,0.04328977689147,0.044,0.034,0.0,0.0,0.0,0.0,0.0
Guatemala,6.123,6.324,6.4539999961853,6.382,6.436,1.04356,0.87119,1.25558519363403,1.268,1.269,0.57733,0.50379,0.531310617923737,0.604,0.535,0.09472,0.08701,0.0772232785820961,0.071,0.078,0.27489,0.28808,0.283488392829895,0.179,0.175
Guinea,3.656,3.607,3.50699996948242,3.964,4.534,0.46475,0.3109,0.791244685649872,0.792,0.829,0.37725,0.30953,0.348587512969971,0.394,0.332,0.12139,0.1192,0.110937617719173,0.094,0.086,0.28657,0.29914,0.264815092086792,0.185,0.207
Haití,4.518,4.028,3.6029999256134,3.582,3.597,0.74302,0.29561,0.640449821949005,0.714,0.688,0.24425,0.12072,0.0303698573261499,0.025,0.026,0.17175,0.14476,0.0998721495270729,0.104,0.11,0.46187,0.47958,0.489203780889511,0.392,0.419
Honduras,4.788,4.871,5.18100023269653,5.504,5.86,0.95348,0.75596,1.14394497871399,1.205,1.236,0.40148,0.26755,0.348079860210419,0.459,0.507,0.06825,0.06906,0.0733454525470734,0.074,0.078,0.23027,0.2044,0.236188873648643,0.197,0.246
Hong Kong,5.448,5.458,5.444,5.43,5.43,1.1238475000000108,0.87021,1.080105,1.29,1.277,0.5102175000000031,0.48079,0.502395,0.524,0.44,0.3164275000000032,0.31647,0.303735,0.291,0.287,0.3249375000000043,0.40097,0.323485,0.246,0.258
"Hong Kong S.A.R., China",5.368203410614338,5.345218182999161,5.47200012207031,4.630158281326292,3.788316440582274,2.9464745998382558,2.1046327590942377,1.26279091835022,1.1084264636039736,0.9540620088577272,0.7996975541114808,0.6453330993652344,0.490968644618988,0.4515616655349732,0.41215468645095843,0.3727477073669436,0.3333407282829288,0.293933749198914,0.3100401580333714,0.32614656686782884,0.3422529757022862,0.3583593845367436,0.374465793371201,0.374465793371201,0.374465793371201
Hungría,4.8,5.145,5.32399988174438,5.62,5.758,1.20215,0.93164,1.34313309192657,1.401,1.41,0.32112,0.1977,0.175863519310951,0.259,0.199,0.02758,0.04472,0.0366369374096394,0.022,0.02,0.128,0.099,0.0784016624093056,0.061,0.081
India,4.565,4.404,4.31500005722046,4.19,4.015,0.38174,0.29247,0.754372596740723,0.747,0.765,0.39786,0.40285,0.469987004995346,0.539,0.498,0.08492,0.08722,0.0922268852591515,0.093,0.085,0.26475,0.25028,0.231538489460945,0.172,0.2
Indonesia,5.399,5.314,5.26200008392334,5.093,5.192,1.08708,0.87625,1.27444469928741,1.215,1.203,0.46611,0.39237,0.443323463201523,0.538,0.491,0.0,0.00322,0.0153171354904771,0.018,0.028,0.51535,0.56521,0.611704587936401,0.484,0.498
