Country Name,Region,Continent,Crecimiento PIB per cápita_2015,Crecimiento PIB per cápita_2016,Crecimiento PIB per cápita_2017,Crecimiento PIB per cápita_2018,Crecimiento PIB per cápita_2019,Crecimiento PIB per cápita_2020,Crecimiento PIB per cápita_2021,Crecimiento PIB per cápita_2022,Crecimiento PIB per cápita_2023,Crecimiento población urbana_2015,Crecimiento población urbana_2016,Crecimiento población urbana_2017,Crecimiento población urbana_2018,Crecimiento población urbana_2019,Crecimiento población urbana_2020,Crecimiento población urbana_2021,Crecimiento población urbana_2022,Crecimiento población urbana_2023,Desempleo hombres_2015,Desempleo hombres_2016,Desempleo hombres_2017,Desempleo hombres_2018,Desempleo hombres_2019,Desempleo hombres_2020,Desempleo hombres_2021,Desempleo hombres_2022,Desempleo hombres_2023,Desempleo mujeres_2015,Desempleo mujeres_2016,Desempleo mujeres_2017,Desempleo mujeres_2018,Desempleo mujeres_2019,Desempleo mujeres_2020,Desempleo mujeres_2021,Desempleo mujeres_2022,Desempleo mujeres_2023,Desempleo total_2015,Desempleo total_2016,Desempleo total_2017,Desempleo total_2018,Desempleo total_2019,Desempleo total_2020,Desempleo total_2021,Desempleo total_2022,Desempleo total_2023,Empleadores total_2015,Empleadores total_2016,Empleadores total_2017,Empleadores total_2018,Empleadores total_2019,Empleadores total_2020,Empleadores total_2021,Empleadores total_2022,Empleadores total_2023,Empleados agricultura hombres_2015,Empleados agricultura hombres_2016,Empleados agricultura hombres_2017,Empleados agricultura hombres_2018,Empleados agricultura hombres_2019,Empleados agricultura hombres_2020,Empleados agricultura hombres_2021,Empleados agricultura hombres_2022,Empleados agricultura hombres_2023,Empleados agricultura mujeres_2015,Empleados agricultura mujeres_2016,Empleados agricultura mujeres_2017,Empleados agricultura mujeres_2018,Empleados agricultura mujeres_2019,Empleados agricultura mujeres_2020,Empleados agricultura mujeres_2021,Empleados agricultura mujeres_2022,Empleados agricultura mujeres_2023,Empleo vulnerable total_2015,Empleo vulnerable total_2016,Empleo vulnerable total_2017,Empleo vulnerable total_2018,Empleo vulnerable total_2019,Empleo vulnerable total_2020,Empleo vulnerable total_2021,Empleo vulnerable total_2022,Empleo vulnerable total_2023,Empleos agricultura_2015,Empleos agricultura_2016,Empleos agricultura_2017,Empleos agricultura_2018,Empleos agricultura_2019,Empleos agricultura_2020,Empleos agricultura_2021,Empleos agricultura_2022,Empleos agricultura_2023,Médicos (por cada 1.000 personas)_2015,Médicos (por cada 1.000 personas)_2016,Médicos (por cada 1.000 personas)_2017,Médicos (por cada 1.000 personas)_2018,Médicos (por cada 1.000 personas)_2019,Médicos (por cada 1.000 personas)_2020,Médicos (por cada 1.000 personas)_2021,Médicos (por cada 1.000 personas)_2022,Nuevas empresas registradas_2015,Nuevas empresas registradas_2016,Nuevas empresas registradas_2017,Nuevas empresas registradas_2018,Nuevas empresas registradas_2019,Nuevas empresas registradas_2020,Nuevas empresas registradas_2021,Nuevas empresas registradas_2022,Personas desempleadas educación avanzada_2015,Personas desempleadas educación avanzada_2016,Personas desempleadas educación avanzada_2017,Personas desempleadas educación avanzada_2018,Personas desempleadas educación avanzada_2019,Personas desempleadas educación avanzada_2020,Personas desempleadas educación avanzada_2021,Personas desempleadas educación avanzada_2022,Personas desempleadas educación avanzada_2023,Personas desempleadas educación básica_2015,Personas desempleadas educación básica_2016,Personas desempleadas educación básica_2017,Personas desempleadas educación básica_2018,Personas desempleadas educación básica_2019,Personas desempleadas educación básica_2020,Personas desempleadas educación básica_2021,Personas desempleadas educación básica_2022,Personas desempleadas educación básica_2023,Personas desempleadas educación intermedia_2015,Personas desempleadas educación intermedia_2016,Personas desempleadas educación intermedia_2017,Personas desempleadas educación intermedia_2018,Personas desempleadas educación intermedia_2019,Personas desempleadas educación intermedia_2020,Personas desempleadas educación intermedia_2021,Personas desempleadas educación intermedia_2022,Personas desempleadas educación intermedia_2023,"Trabajadores asalariados (empleados), total_2015","Trabajadores asalariados (empleados), total_2016","Trabajadores asalariados (empleados), total_2017","Trabajadores asalariados (empleados), total_2018","Trabajadores asalariados (empleados), total_2019","Trabajadores asalariados (empleados), total_2020","Trabajadores asalariados (empleados), total_2021","Trabajadores asalariados (empleados), total_2022","Trabajadores asalariados (empleados), total_2023",Trabajadores salud (cada 1.000 personas)_2015,Trabajadores salud (cada 1.000 personas)_2016,Técnicos investigación y desarrollo_2015,Técnicos investigación y desarrollo_2016,Técnicos investigación y desarrollo_2017,Técnicos investigación y desarrollo_2018,Índice facilidad para hacer negocios_2019
Cuba,Caribbean,North America,4.538,0.597,1.971,2.437,0.053,-10.738,1.747,2.349,-1.574,-0.049,-0.04,-0.097,-0.106,-0.123,-0.127,-0.359,-0.421,-0.204,2.281,1.881,1.741,1.619,1.624,2.213,2.066,1.739,1.635,2.579,2.178,1.639,1.821,1.826,2.281,2.192,1.946,1.853,2.4,2.0,1.7,1.7,,,,,,4.743,5.073,5.411,5.512,5.562,5.523,5.45,5.474,5.478,25.629,25.362,25.19,24.942,24.585,24.901,24.686,23.91,23.628,8.176,7.956,7.834,7.648,7.393,7.365,7.371,6.935,6.775,19.68,20.532,21.489,21.829,22.461,22.814,22.876,22.794,22.889,18.667,18.412,18.225,17.995,17.687,17.897,17.783,17.308,17.102,7.759,7.949,8.123,8.429,8.589,9.188,9.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.576,74.395,73.1,72.659,71.977,71.663,71.674,71.732,71.633,,,,,,,
Curacao,Caribbean,North America,-0.859,-2.111,-1.591,-1.589,-2.041,-17.126,5.946,8.597,5.706,1.217,0.971,0.242,-0.59,-1.249,-1.637,-1.705,-1.584,-1.435,,,,,,,,,,,,,,,,,,,11.71,,,13.43,,19.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.68,,10.58,,,,,,,20.88,,25.41,,,,,,,14.34,,22.53,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,,Africa,4.142,4.109,4.422,2.053,3.962,-1.816,4.447,3.579,3.574,3.763,3.781,3.711,3.593,3.521,3.437,3.387,3.434,3.426,2.139,1.561,2.849,2.412,1.949,2.238,2.363,2.11,2.074,3.161,2.352,3.848,3.448,3.019,3.054,2.988,2.567,2.528,,1.896,3.273,,2.401,,,2.31,,1.417,1.801,1.567,2.168,2.995,2.443,2.042,1.519,1.477,47.423,46.905,46.34,48.484,50.545,51.016,50.862,50.543,50.047,38.417,37.032,35.766,37.773,39.598,39.665,39.833,39.229,38.841,73.404,72.052,72.686,71.992,71.001,72.216,72.552,73.307,72.89,43.567,42.742,41.891,43.981,45.945,46.221,46.167,45.696,45.232,,,,0.22,0.16,0.165,0.18,0.175,6050.0,8232.0,8331.0,10507.0,11577.0,11151.0,11017.0,19042.0,,8.846,12.389,,6.653,,,10.51,,,3.312,2.239,,4.149,,,2.228,,,5.146,6.396,,5.49,,,6.252,,25.179,26.147,25.747,25.84,26.004,25.341,25.406,25.174,25.633,,,,,,,110.0
Dinamarca,Northern Europe,Europe,1.386,2.272,2.396,1.356,1.348,-2.066,6.918,0.744,1.738,0.839,0.913,0.774,0.629,0.495,0.43,0.574,0.931,0.886,6.057,5.639,5.636,4.94,4.795,5.332,4.958,4.38,4.931,6.529,6.379,6.054,5.346,5.269,5.98,5.139,4.493,5.274,6.278,5.989,5.833,5.131,5.018,5.637,5.043,4.434,5.094,2.847,2.782,2.641,2.577,2.646,2.661,2.743,2.752,2.672,3.8,3.598,3.158,3.288,3.214,3.115,3.038,3.064,2.952,1.0,0.912,0.935,0.954,1.099,0.983,0.919,1.066,0.989,6.02,6.006,5.7,5.56,5.693,5.863,5.933,5.83,5.747,2.492,2.334,2.111,2.192,2.223,2.115,2.045,2.117,2.022,3.934,4.014,4.129,4.215,4.265,4.381,,,30378.0,33765.0,36485.0,37196.0,33110.0,29502.0,32963.0,27333.0,4.617,4.648,4.58,4.172,4.096,4.682,3.995,3.551,3.855,10.42,9.177,9.674,8.612,8.403,9.384,8.46,7.635,8.746,5.38,5.134,4.681,4.08,4.119,4.775,4.46,3.739,4.563,91.133,91.212,91.66,91.863,91.661,91.476,91.323,91.419,91.581,,,,,,,4.0
Djibouti,Eastern Africa,Africa,5.672,5.333,3.74,3.109,3.914,-0.194,3.025,2.283,5.21,1.873,1.828,1.797,1.769,1.735,1.691,1.641,1.612,1.603,22.207,22.094,22.108,22.161,22.174,23.538,23.484,22.191,22.048,36.115,35.936,35.956,36.036,36.052,37.769,37.618,36.142,35.917,,,26.064,,,,,,,21.148,21.068,21.003,20.909,20.773,20.706,20.595,20.494,20.359,1.519,1.466,1.423,1.382,1.343,1.351,1.334,1.288,1.259,1.146,1.078,1.021,0.967,0.918,0.914,0.908,0.858,0.826,31.675,31.483,31.156,30.853,30.591,30.788,30.634,30.524,30.327,1.429,1.371,1.324,1.277,1.234,1.24,1.224,1.177,1.148,,,,,,,,,,,,,,1142.0,,,,,16.29,,,,,,,,,34.827,,,,,,,,,27.474,,,,,,,47.177,47.449,47.841,48.238,48.636,48.506,48.771,48.983,49.314,,,,,,,112.0
Dominica,Caribbean,North America,-2.783,3.951,-5.106,4.037,5.959,-16.225,7.481,6.178,5.21,0.485,-0.717,-1.179,-0.042,-0.002,-0.025,-0.123,-0.136,-0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.136,1.116,,,,,134.0,123.0,132.0,169.0,159.0,129.0,164.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0
Ecuador,South America,South America,-1.303,-2.126,4.362,-0.675,-1.513,-10.311,8.971,5.343,1.466,1.647,1.672,1.743,1.953,1.948,1.462,1.078,1.121,1.216,3.018,3.721,3.064,2.924,3.259,5.289,3.689,3.269,2.923,4.516,5.84,4.921,4.394,4.593,7.355,5.785,4.453,4.349,3.616,4.597,3.836,3.53,3.812,6.116,4.504,3.713,3.51,3.246,3.304,2.982,3.004,2.834,2.345,2.414,2.503,2.309,28.535,29.068,29.712,30.676,31.524,34.061,33.56,32.959,31.678,22.609,23.856,24.804,26.145,27.192,28.452,30.388,29.487,27.56,41.669,45.33,46.409,47.007,48.482,52.001,51.763,50.598,48.485,26.192,26.942,27.694,28.825,29.742,31.816,32.27,31.526,29.998,1.814,2.064,2.234,2.345,2.32,2.308,,,,,,,,,,,4.806,6.038,5.814,5.276,5.321,,6.299,5.175,5.501,2.455,3.011,2.331,2.018,2.078,,2.619,1.985,1.912,5.867,7.301,5.965,5.653,6.231,,6.731,5.574,5.092,55.084,51.367,50.609,49.989,48.683,45.654,45.824,46.899,49.206,,,,,,,129.0
"Egipto, República Árabe de",Northern Africa,Africa,2.204,2.245,2.12,3.352,3.716,1.881,1.762,5.016,2.022,1.973,1.911,1.935,1.895,1.816,1.749,1.675,1.731,1.997,9.341,8.83,8.159,6.767,4.747,5.925,5.569,4.987,4.972,24.68,23.507,22.824,21.333,21.312,17.631,15.924,18.283,18.234,13.052,12.45,11.767,9.855,7.851,7.974,7.441,7.344,6.753,11.953,10.422,10.378,12.363,9.393,8.897,3.754,3.098,2.787,22.011,22.059,21.794,21.747,21.115,20.537,19.349,19.267,19.055,40.161,38.371,36.977,21.39,21.385,19.531,18.984,17.14,16.757,25.467,19.748,21.565,18.9,19.507,18.458,23.665,23.065,23.301,25.815,25.574,25.062,21.681,21.158,20.379,19.289,18.934,18.694,0.777,0.778,0.757,0.73,0.709,0.683,,,3902.0,4413.0,5387.0,10411.0,13570.0,14337.0,19286.0,18587.0,21.639,20.73,20.814,22.253,,16.052,15.277,15.183,14.175,8.968,8.614,6.873,4.113,4.903,6.045,4.885,4.705,4.313,16.667,15.906,15.672,10.475,11.144,7.291,7.039,6.804,6.085,62.58,69.83,68.057,68.737,71.1,72.644,72.581,73.837,73.912,,,343.946,336.646,371.195,369.556,114.0
El Salvador,Central America,North America,2.057,2.256,2.038,2.309,2.396,-8.076,11.527,2.398,3.03,1.528,1.419,1.297,1.145,1.039,1.153,1.252,1.263,1.299,4.371,4.826,4.654,4.187,4.019,4.717,4.022,2.787,2.725,3.47,3.847,4.003,3.748,4.384,5.423,4.763,3.3,3.369,3.998,4.418,4.385,4.006,4.17,5.008,4.327,2.999,2.992,4.422,4.039,3.898,4.546,4.526,3.904,3.717,4.463,4.834,28.289,29.255,28.938,26.081,25.376,24.336,22.885,22.284,22.077,3.859,4.03,3.917,3.415,3.384,3.52,3.335,4.509,4.354,36.001,35.985,36.357,34.31,34.611,34.919,33.113,32.068,31.51,18.111,18.679,18.575,16.708,16.294,15.796,14.872,14.974,14.754,,1.566,,2.936,,,2.913,1.552,2158.0,2218.0,2149.0,2361.0,2617.0,1771.0,,,4.411,6.584,5.206,4.983,6.462,5.75,6.081,5.189,4.01,3.887,3.407,3.692,3.748,3.393,3.967,3.623,2.601,2.485,5.813,6.846,6.794,5.968,6.183,8.125,6.169,3.978,4.449,59.578,59.976,59.745,61.145,60.863,61.177,63.171,63.469,63.656,,,,14.002,12.523,21.649,91.0
Emiratos Árabes Unidos,Western Asia,Asia,1.19,0.483,-2.412,-0.025,0.048,-4.505,2.457,2.176,-0.422,5.733,5.27,3.502,1.647,1.363,-0.177,2.123,5.367,4.246,1.19,1.052,1.282,1.293,1.396,3.837,2.188,1.526,1.508,4.227,3.952,6.904,5.754,5.571,5.717,6.418,7.418,4.297,,1.64,2.462,2.236,2.331,4.294,3.105,2.873,2.151,2.552,2.606,2.759,3.021,3.537,3.433,3.308,3.73,3.747,2.548,2.275,2.036,1.828,2.843,2.328,1.796,1.727,1.727,0.07,0.06,0.05,0.043,0.062,0.053,0.04,0.04,0.04,0.335,0.339,0.73,0.953,1.405,1.159,1.104,1.146,1.124,2.068,1.836,1.638,1.464,2.241,1.783,1.428,1.36,1.346,2.297,2.468,2.548,2.664,2.759,2.879,2.912,,16625.0,16735.0,16285.0,17907.0,22593.0,19050.0,,,,,3.818,3.33,,,4.214,4.117,2.659,,,1.091,1.226,,,0.249,0.421,1.232,,,3.969,3.394,,,5.471,1.025,2.786,97.113,97.054,96.511,96.026,95.058,95.408,95.588,95.124,95.129,,,,,,889.538,16.0
Eritrea,Eastern Africa,Africa,,,,,,,,,,1.96,2.227,2.412,2.919,3.039,3.112,3.305,3.266,3.267,4.881,4.93,5.014,4.982,4.996,5.539,5.551,5.071,4.943,6.265,6.239,6.196,6.091,6.159,6.69,6.862,6.383,6.295,,,,,,,,,,2.331,2.334,2.333,2.332,2.33,2.318,2.328,2.326,2.321,61.628,60.298,61.473,59.526,58.775,59.156,58.839,58.519,58.077,67.074,66.095,66.898,65.499,64.888,64.925,65.036,64.342,63.978,74.806,74.695,74.855,74.727,74.528,74.772,74.374,74.144,73.983,64.205,63.041,64.041,62.358,61.676,61.891,61.776,61.271,60.863,0.064,0.067,0.066,0.081,0.071,0.082,0.079,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.863,22.971,22.812,22.941,23.143,22.909,23.298,23.53,23.696,,,,,,,189.0
Eslovenia,Southern Europe,Europe,2.316,2.959,5.106,4.001,2.787,-4.725,8.099,2.505,1.709,0.493,0.517,0.532,0.855,1.21,1.208,0.828,0.772,0.999,8.048,7.49,5.773,4.604,4.012,4.411,4.259,3.753,3.6,10.033,8.588,7.481,5.7,4.957,5.63,5.318,4.319,3.714,8.962,8.0,6.565,5.108,4.446,4.971,4.744,4.011,3.652,3.697,3.672,3.671,3.654,3.648,3.592,3.628,3.638,3.646,6.86,5.66,6.06,5.758,4.911,4.282,4.292,4.637,4.584,7.056,4.105,4.756,4.813,3.446,3.689,3.642,3.833,3.378,13.22,11.498,11.893,11.692,10.627,10.529,10.634,10.764,10.617,6.949,4.942,5.462,5.326,4.242,4.011,3.997,4.271,4.034,2.802,2.978,3.054,3.13,3.224,3.279,3.326,,5478.0,4239.0,4512.0,4118.0,3911.0,3565.0,3593.0,3720.0,5.767,6.136,5.205,3.625,3.0,3.131,3.332,2.653,2.121,13.672,14.322,10.888,8.416,9.333,10.956,9.058,9.165,8.61,9.905,8.051,6.692,5.482,4.644,5.526,5.405,4.461,3.845,83.083,84.83,84.435,84.653,85.725,85.879,85.738,85.598,85.738,,,2399.576,2373.916,1814.203,,37.0
España,Southern Europe,Europe,4.142,2.828,2.655,1.948,1.232,-11.374,6.57,5.416,1.425,0.219,0.383,0.535,0.738,1.021,0.792,0.41,1.027,1.53,20.782,18.132,15.667,13.729,12.46,13.882,13.065,11.286,10.672,23.557,21.394,19.04,17.036,16.01,17.446,16.733,14.781,13.882,22.057,19.635,17.224,15.255,14.105,15.532,14.781,12.917,12.179,5.283,5.095,5.108,4.991,4.936,4.956,4.858,5.024,4.816,5.784,5.94,6.071,5.886,5.68,5.674,5.716,5.409,5.071,2.1,2.13,2.267,2.163,2.037,1.941,2.092,1.885,1.924,12.121,11.581,11.585,11.109,10.808,11.179,10.843,10.91,10.354,4.124,4.223,4.354,4.204,4.031,3.985,4.06,3.8,3.622,3.847,3.824,3.878,4.021,4.404,4.577,4.48,,91750.0,98824.0,92613.0,93560.0,92010.0,77541.0,99159.0,96655.0,13.374,11.703,10.343,8.816,8.67,9.859,9.368,7.903,7.38,30.685,27.62,24.445,21.962,20.016,21.01,20.971,18.629,17.649,21.471,19.305,17.292,15.383,14.459,17.587,16.02,13.756,13.271,82.597,83.325,83.307,83.899,84.256,83.865,84.298,84.066,84.831,,,1189.644,1189.223,1264.92,,31.0
Estados Unidos,Northern America,North America,2.19,1.084,1.811,2.426,2.118,-3.106,5.888,2.136,2.383,0.967,0.958,0.872,0.767,0.702,1.217,0.41,0.622,0.749,5.366,4.937,4.394,3.945,3.72,7.807,5.463,3.68,3.795,5.175,4.786,4.307,3.836,3.608,8.356,5.21,3.613,3.45,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638,2.718,2.672,2.598,2.599,2.523,2.551,2.647,2.528,2.424,2.459,2.449,2.443,2.322,2.282,2.332,2.215,2.141,2.059,0.957,0.967,0.949,0.964,0.951,1.032,0.994,0.992,0.987,3.727,3.715,3.654,3.682,3.571,3.755,3.937,3.756,3.658,1.781,1.781,1.768,1.709,1.68,1.746,1.662,1.621,1.57,,,,2.57,3.518,3.555,3.608,,,,,,,,,,3.032,2.908,2.686,2.45,2.38,5.591,3.576,2.321,2.373,7.76,7.492,6.551,5.872,5.396,11.724,8.056,5.507,5.591,7.087,6.471,5.766,5.172,4.84,10.457,7.076,4.96,4.888,93.556,93.613,93.748,93.719,93.906,93.693,93.417,93.716,93.918,,,,,,,6.0
Estonia,Northern Europe,Europe,1.771,3.063,5.507,3.339,3.342,-3.075,7.041,-1.268,-4.541,0.281,0.244,0.345,0.585,0.619,0.455,0.374,1.616,1.866,6.496,7.561,6.34,5.56,4.125,7.13,6.782,6.066,6.123,6.324,6.16,5.242,5.255,4.926,6.771,5.544,5.061,6.638,6.412,6.882,5.807,5.412,4.514,6.956,6.178,5.571,6.378,3.672,3.801,3.862,3.972,4.029,4.107,4.166,4.158,4.292,5.434,5.761,5.312,5.11,5.023,4.516,3.9,3.545,4.002,2.559,1.951,1.858,1.65,1.544,1.56,1.424,1.643,1.165,5.87,6.08,6.296,6.391,6.384,6.608,6.76,6.676,6.817,4.032,3.9,3.626,3.432,3.34,3.082,2.684,2.604,2.6,3.417,3.456,3.468,3.483,3.469,3.48,3.438,,15005.0,16572.0,18461.0,19950.0,20899.0,20329.0,24728.0,20608.0,3.969,3.899,3.248,3.518,2.823,4.757,3.445,3.654,3.564,12.286,12.887,10.769,10.536,9.644,13.567,14.234,12.007,12.909,6.927,7.797,6.631,5.682,4.795,7.425,6.854,5.895,7.43,90.458,90.119,89.842,89.637,89.586,89.285,89.074,89.166,88.892,,,675.118,710.211,654.848,,18.0
Eswatini,Southern Africa,Africa,0.777,2.926,1.696,-0.156,3.988,-3.934,2.211,-1.078,4.026,1.222,1.264,1.458,1.656,1.694,1.873,1.971,1.862,1.813,21.556,21.098,22.947,24.831,26.642,31.624,32.882,33.828,33.554,25.183,24.493,26.242,28.032,29.743,34.364,35.507,36.984,36.696,,22.718,,,,,34.153,,,2.231,2.229,2.219,2.211,2.203,2.194,2.182,2.168,2.155,15.153,14.852,15.2,15.618,16.041,16.839,17.321,17.412,17.182,11.608,11.318,11.073,10.868,10.62,10.526,10.372,10.202,10.016,33.748,33.586,33.544,33.308,32.943,33.048,32.908,32.9,32.705,13.505,13.205,13.27,13.388,13.485,13.862,14.026,14.002,13.774,,0.094,0.181,0.24,,0.14,,1.591,2380.0,2472.0,2213.0,2626.0,2871.0,2961.0,,,,11.342,,,,,20.252,,,,25.39,,,,,37.362,,,,28.947,,,,,57.283,,,64.021,64.185,64.237,64.48,64.854,64.759,64.91,64.933,65.14,,,36.049,,,,121.0
Etiopía,Eastern Africa,Africa,7.468,6.51,6.619,3.974,5.487,3.223,2.856,2.595,3.761,4.923,4.937,4.936,4.903,4.892,4.901,4.856,4.795,4.769,1.774,1.846,1.917,2.013,2.091,2.98,2.938,2.443,2.436,3.25,3.422,3.59,3.803,3.984,5.334,5.283,4.709,4.697,,,,,,,3.935,,,0.371,0.318,0.272,0.232,0.198,0.169,0.143,0.138,0.134,75.447,74.57,73.404,72.626,71.698,71.191,70.081,69.84,69.144,61.03,59.796,58.687,57.669,56.298,55.174,54.301,53.741,53.065,87.021,86.641,86.36,86.076,85.77,85.913,85.337,85.112,84.961,68.967,67.99,66.913,66.098,65.053,64.391,63.466,63.074,62.37,,,,0.076,0.051,0.104,0.101,0.108,13212.0,9125.0,11265.0,10935.0,14211.0,17499.0,19649.0,34327.0,,,,,,,10.561,,,,,,,,,4.539,,,,,,,,,7.677,,,12.609,13.04,13.368,13.692,14.032,13.918,14.519,14.75,14.905,,,,,33.257,,159.0
Federación de Rusia,Eastern Europe,Europe,-2.276,-0.09,1.614,2.717,2.142,-2.527,5.966,-1.733,3.894,0.414,0.413,0.364,0.262,0.245,0.08,-0.103,-0.097,-0.013,5.862,5.787,5.394,4.937,4.661,5.664,4.669,3.777,2.969,5.352,5.381,5.071,4.8,4.356,5.574,4.833,3.961,3.188,5.615,5.591,5.238,4.871,4.513,5.62,4.749,3.867,3.076,1.292,1.29,1.355,1.455,1.448,1.35,1.288,1.284,1.387,8.218,8.32,7.659,7.666,7.563,7.746,7.678,7.655,7.501,5.112,5.017,4.032,3.989,4.002,4.157,3.918,3.855,3.805,5.968,6.245,5.325,5.436,5.311,5.45,5.434,5.262,5.198,6.71,6.718,5.902,5.883,5.833,6.001,5.853,5.804,5.697,3.942,3.982,4.078,4.119,4.187,3.827,,,456046.0,433464.0,390299.0,317475.0,281834.0,214895.0,221776.0,240458.0,5.387,5.459,5.05,4.796,4.451,5.608,4.687,2.597,1.877,13.911,14.081,13.592,12.771,10.983,12.61,11.347,9.606,8.264,5.129,5.035,4.717,4.259,3.974,4.984,4.155,4.174,3.407,92.74,92.465,93.321,93.108,93.241,93.2,93.278,93.454,93.415,,,483.643,460.897,451.226,437.839,29.0
Fiji,Melanesia,Oceania,4.388,2.38,5.4,3.991,-0.334,-17.044,-5.062,19.44,6.975,1.044,0.99,0.87,0.731,0.64,0.879,1.048,1.139,1.34,3.764,3.698,3.701,3.709,3.741,4.031,4.056,3.802,3.694,5.29,5.542,5.546,5.557,5.603,5.848,5.945,5.689,5.532,,4.32,,,,,,,,1.254,1.226,1.228,1.226,1.218,1.209,1.212,1.21,1.206,35.157,35.32,34.608,34.093,33.862,34.321,33.967,33.386,32.791,21.392,21.132,20.69,20.197,19.831,19.822,19.882,19.178,18.866,37.777,34.192,33.301,32.38,31.482,31.788,30.966,30.476,30.199,30.453,30.605,29.966,29.443,29.159,29.455,29.223,28.599,28.092,0.814,,,,,,,,,,,,1121.0,1320.0,1130.0,1352.0,,5.022,,,,,,,,,2.575,,,,,,,,,5.545,,,,,,,,60.969,64.582,65.471,66.395,67.3,67.003,67.822,68.314,68.595,,,,,,,102.0
Filipinas,South-Eastern Asia,Asia,4.787,5.721,5.562,5.034,4.836,-10.549,4.762,6.766,4.694,1.892,1.754,1.733,1.718,1.731,1.693,1.486,1.373,1.454,2.968,2.596,2.459,2.124,2.046,2.394,3.12,2.412,2.024,3.218,2.846,2.701,2.674,2.529,2.719,3.822,2.861,2.501,3.068,2.695,2.552,2.338,2.237,2.522,3.398,2.598,,3.148,3.356,3.696,3.619,2.945,2.526,2.84,2.573,2.561,35.942,33.23,31.691,30.551,28.776,31.017,30.06,28.272,27.752,19.07,17.411,15.415,14.446,13.775,15.12,15.497,15.121,14.728,37.873,35.404,34.1,32.897,33.205,34.879,33.592,34.517,34.184,29.189,26.986,25.44,24.293,22.858,24.769,24.326,22.836,22.365,0.622,0.642,0.669,0.701,0.735,0.752,0.786,,21453.0,22412.0,24379.0,20092.0,21835.0,15161.0,15396.0,25421.0,8.46,7.51,3.68,,,,4.579,3.697,,5.27,4.46,1.282,,,,2.857,2.065,,10.28,9.03,3.154,,,,6.275,4.792,,58.978,61.24,62.204,63.485,63.85,62.595,63.568,62.909,63.255,,,17.538,,,,95.0
Finlandia,Northern Europe,Europe,0.136,2.278,3.061,1.059,1.238,-2.631,2.522,1.175,-1.656,0.388,0.346,0.293,0.199,0.185,0.227,0.3,0.371,0.607,9.874,9.036,8.871,7.419,7.175,8.01,8.138,7.047,7.846,8.842,8.582,8.388,7.298,6.173,7.485,7.044,6.367,6.413,9.376,8.818,8.64,7.361,6.695,7.759,7.617,6.719,7.151,3.736,3.649,3.422,3.362,3.504,3.514,3.483,3.442,3.415,6.135,5.513,5.253,5.225,5.375,5.134,5.922,5.449,5.403,2.196,2.087,2.149,2.068,2.063,2.047,2.136,1.958,1.732,10.545,10.145,9.59,9.508,9.673,9.924,10.075,10.372,9.774,4.224,3.865,3.763,3.712,3.778,3.655,4.108,3.76,3.607,3.413,3.422,3.489,3.503,3.567,3.611,4.381,,12625.0,13584.0,13848.0,15829.0,19592.0,21333.0,23109.0,20896.0,6.395,5.804,5.637,4.345,4.021,4.515,4.598,3.915,3.978,16.447,17.372,16.03,17.098,15.371,19.279,15.986,13.542,15.818,10.156,9.564,9.522,7.86,7.26,8.396,8.384,7.494,7.639,85.72,86.206,86.988,87.131,86.823,86.562,86.442,86.187,86.811,,,,,,,20.0
Francia,Western Europe,Europe,0.708,0.594,1.788,1.282,1.689,-7.741,6.502,2.236,0.608,0.684,0.592,0.619,0.687,0.661,0.654,0.686,0.655,0.655,10.792,10.245,9.442,8.982,8.475,8.064,7.971,7.469,7.457,9.877,9.853,9.372,9.056,8.351,7.95,7.771,7.137,7.205,10.354,10.057,9.41,9.018,8.415,8.01,7.871,7.303,7.335,4.273,4.255,4.193,4.225,4.239,4.205,4.942,5.024,4.838,3.757,4.01,3.555,3.528,3.497,3.206,3.522,3.552,3.359,1.654,1.642,1.571,1.377,1.458,1.429,1.446,1.564,1.604,7.317,7.558,7.409,7.421,7.854,8.2,7.67,8.068,8.081,2.745,2.872,2.606,2.497,2.515,2.35,2.515,2.587,2.505,3.239,3.254,3.274,3.276,3.31,3.323,3.343,,171984.0,199900.0,210288.0,222555.0,240113.0,237702.0,278530.0,,6.3,5.696,5.224,5.435,5.102,5.206,5.321,4.733,4.956,17.489,17.814,16.934,15.93,15.438,14.005,14.444,13.118,13.243,10.799,10.663,10.071,9.654,9.145,8.854,8.48,8.17,8.074,88.41,88.186,88.398,88.354,87.907,87.596,87.389,86.907,87.081,,,1798.355,1804.907,1805.544,,33.0
