pais,continente,desempleo_total,indice_facilidad_para_hacer_negocios,crecimiento_PIB_per_capita,contaminacion_aire,inflacion_deflactor_PIB,medicos_por_1000_personas,inversion_extranjera_directa,crecimiento_poblacion_urbana,PIB_per_capita,comercio_servicios,corrupcion,libertad
Federación de Rusia,Europe,-0.501795181727721,-0.8693208027134128,-1.3342460688611113,0.28009071174635725,0.8208911758505457,0.8517890697848929,-0.509331587347776,-0.4497990990724355,-0.5337810393587032,-0.606521844934745,-0.7558338859716431,-0.32844194831080437
Finlandia,Europe,0.08604975582624971,-1.0645113363787946,-0.5476226593415422,-2.4947798445403113,-0.2599464863224794,0.4913680009515223,0.1577584880273517,-0.47735404093589506,1.0617820837906995,-0.215370982448349,2.362699956640502,1.160715499949771
Francia,Europe,0.23891132161401446,-0.7825694544176875,-0.3610768093228052,0.23733159038612972,-0.3559653564354115,0.3728174036414912,-0.3895682944979129,-0.16365162587497017,0.7809547875305778,-0.29198184327675003,0.6734941252255902,0.6625246445316879
Grecia,Europe,2.52511390114125,0.21507105098315216,-0.4514145723563544,0.5270661879846199,-0.6078465207196361,2.1926372048776583,-0.4952027428231286,-1.1185363419894747,-0.11656008790933405,-0.07934235082166824,-0.8857727960804825,-1.898826166476502
Guatemala,North America,-0.9877324087565151,0.5837642812399843,0.12616007866319656,0.5270661879846199,-0.14468535766988153,-1.6391361242695535,-0.37354296077532634,1.7704933318486373,-0.7918990069439928,-0.6064250733210671,-0.22795706365448307,0.8087328303609076
Guyana,South America,0.7504817764436202,1.4079020900493735,-0.5649075020880335,0.5270661879846199,0.0038648782563380176,-0.6048843615303168,-0.2519780031874211,-0.14245551674923213,-0.7081524219075677,-0.5104276325525107,-0.9832269786621121,-1.898826166476502
Haití,North America,-1.379420633566473,2.383854758376282,-0.6066520279663523,0.5270661879846199,0.4275794112997779,-1.7754011786488997,-0.4895132752293109,2.6395338060039024,-0.91090374174133,-0.5552328896854155,0.3973739412443064,-0.9945014615328072
Honduras,North America,-0.4186434915446014,1.3862142529754422,0.021798763967399635,0.5270359695242945,0.7598932162798053,-1.4347385427005346,0.038090019637385626,2.387300107407618,-0.8696718599386575,-0.23053186859123256,-0.4472289744631495,-0.14432793652586035
Hungría,Europe,-0.314547578646185,-0.3705005500129929,0.6975382766226846,0.5270661879846199,-0.04000747121409993,0.27606921503215553,-0.9714111804256718,-0.7295877395321793,-0.36890044522402604,0.07955663883757531,-0.772076249735248,-0.577537376019846
Irlanda,Europe,0.1692014460093692,-0.9777599880830693,4.289672670002342,-2.4126460693762835,1.1399278224382037,0.307410177539405,4.227403053279304,0.44891592785886275,2.104543803333565,2.866933942013558,1.3313098576515894,1.0307526681015753
Islandia,Europe,-0.7575022590577651,-0.9343843139352067,0.5018608115680655,-2.132611597542198,0.5909461863015399,0.7359637735624485,0.06321850151008061,0.25285191844578464,1.5599407787477217,0.38319370535451786,0.14561730290843009,1.0903189660319985
Italia,Europe,0.47992618300944756,-0.24037352756940514,-0.27139130450610477,0.42900728422918577,-0.4235056839096383,0.8027336502083282,-0.4886598550902382,-0.5430619792256833,0.47820034856929633,-0.5879739523131322,-0.7639550678534456,-0.8970293376466604
Jamaica,North America,0.7323509567796315,0.041568354391701756,-0.39466810749051484,0.5270661879846199,0.7063997375395346,-1.5417066103883212,0.06113236339234742,-0.07356816209058302,-0.7358386221720552,0.24797150384182018,-0.8126821591442603,0.41342921682264594
Kosovo,Europe,3.753476933376468,-0.2620613646433364,1.810943052783468,-2.4947798445403113,-0.45717963635405334,-1.8339951520320183,-0.03985568639791714,-0.8885585579752154,-0.8097746123079994,-0.11618007842841935,-0.6177737939810013,-0.9782561075517827
Letonia,Europe,0.16373094007626923,-1.0861991734527259,0.9199583285681018,0.29356814505141837,-0.49970502772671466,0.3292125862401004,-0.26449483189382006,-1.7120273975101434,-0.3398999270719308,-0.017505289681438836,-0.48783488387216184,-0.7075002078680418
Lituania,Europe,0.04603691242986134,-1.2597018700441762,0.6489450394674542,0.5128937300920782,-0.5745574134460144,1.063681229344776,-0.3203464387731307,-1.6929508992969788,-0.293001367723782,-0.05153664049152853,-0.9182575236076924,-1.1623701193367266
Luxemburgo,Europe,-0.3172046815279763,0.06325619146563306,-0.6294810655560579,-0.07793760618719657,-0.14718685128003814,0.14729873864367346,4.227403053279304,1.9601985085239941,3.6299047202208277,4.703818007302928,2.0703374088956137,1.0199224321142257
Macedonia del Norte,Europe,2.746122340838488,-1.1295748476005885,0.7562415161390705,0.5270661879846199,-0.18875012972571611,0.09688066852331553,-0.27758060735960083,-0.9426086362458479,-0.7262606791795316,-0.08285838611863479,-0.7233491584444333,-0.44757454417165055
Malta,Europe,-0.537119020038595,0.41026158464853385,1.7026681887865784,0.5270661879846199,0.23400229039074041,0.6071932971739666,2.4871213453962233,1.715383448121718,0.24304449628786412,4.703818007302928,0.10501139349941795,0.9549410161901278
Montenegro,Europe,1.3644288423069535,-0.4138762241608555,0.49468597118272933,0.5270661879846199,-0.1469944286946414,-0.23288076307470196,1.0796418871456164,-0.28764886426053854,-0.6661198973035771,0.5078355437717562,0.16185966667203502,-1.324823659146971
México,North America,-0.7056106027780741,-0.19699785342154252,-0.06690835352402767,0.518453926791924,0.046390269628999344,-0.2274301608995281,-0.2736928045038254,0.6365014936216455,-0.49813659059216164,-0.7343248893987976,0.7303423983982074,0.2942966209617998
Nicaragua,North America,-0.6448098368359058,1.581404786640824,0.5096879101702503,0.5249508957618527,0.8861224323000128,-1.2071759018870265,0.1617411153430241,0.9078116904310941,-0.8791039700228757,-0.3627218928753536,0.5679187607621582,0.689600234500062
Noruega,Europe,-0.7079551053208311,-1.3030775441920388,-0.3150926050349697,-2.433587462381681,-1.1137254977274487,1.1985836331803283,-0.379327252829041,0.688431960979704,2.607822805797945,-0.19972623823707558,1.9647620444321816,1.3123388037726662
Panamá,North America,-0.691387287352014,0.36688591050067126,0.5367566261694725,0.14295933879037598,0.0059815266957012735,-0.7568198971632877,0.31346025117816323,1.4631497495254338,-0.30343307082939297,0.026687080564838705,-0.244199427418088,0.6192037005822894
Paraguay,South America,-0.6673170612463742,1.2127115563839919,-0.11419707424556065,0.5270661879846199,-0.26552674129898246,-0.8378976045189986,-0.3887148743588402,1.1420286962705006,-0.6966985461290806,-0.6210698441910013,-0.33353242811791506,0.6029583466012648
Países Bajos,Europe,-0.3053258686446736,-0.5873789207523059,-0.047666736126990135,0.521385117443473,-0.4033013124429893,0.5308848667215328,4.0420528387866055,0.1500507891859546,1.2167939320328593,0.6697989678641358,1.583066495987466,1.0199224321142257
Perú,South America,-0.8680064789063845,0.15000753976135825,0.09093813495336507,0.5262502895558382,-0.05636339097281581,-0.9509975996538559,-0.19043692871429274,0.560195500768988,-0.6798058027920558,-0.6998419377248772,-0.5121984295175692,-0.06851628461441311
Polonia,Europe,-0.21107686642583706,-0.6307545949001685,0.8759308989308126,0.5269453141433188,-0.31998233296623657,-0.2710349783009189,-0.24458169531545806,-1.1789452529978284,-0.3727124752600962,-0.4259782710161933,-0.6583797033900135,0.5596374026518662
Portugal,Europe,0.5660475764133925,-0.6524424319740998,0.06386941895414283,-1.6650413609296157,-0.1966394557269791,1.402299889477451,-0.4965302852616861,-0.35865582983176136,-0.05735197507712798,-0.2634342172417459,-0.9101363417258899,0.47299551475306906
Reino Unido,Europe,-0.511642092407301,-1.32476538126597,-0.1301774005583546,-0.3201687841543952,-0.44755850708422046,0.055319826937615016,-0.4102400267554506,0.28676569304696575,1.1770315492894532,-0.24978941971315066,1.6074300416328735,0.9116200722407292
República Checa,Europe,-0.5904173778439404,-0.6090667578262372,0.9581154342537526,0.5218686128086771,-0.3365306753103491,0.85860232250386,-0.47178110122857897,-0.5462413955945442,-0.11891541881595992,-0.2045970761255339,-0.7801974316170505,0.19682449707565328
República Dominicana,North America,-0.1907578443886085,0.9958331856446789,1.2685903454737484,0.5264316003177897,-0.09850393717468378,-0.8603813384915907,-0.26022773119845677,1.545814575115813,-0.6516066465384595,-0.4529130368232311,0.15373848479023255,0.8087328303609076
República Eslovaca,Europe,0.4167809145245222,-0.522315409530512,1.0637812653832468,0.5270661879846199,-0.6099631691589994,0.5172583612835981,-0.3953525865516276,-1.0061969636230623,-0.19032287150428287,-0.3562704519634883,-0.7233491584444333,-0.5937827300008705
República de Moldova,Europe,-1.101050031656443,-0.4572518983087181,-0.4520668305732031,0.5270661879846199,1.6529264351056925,0.2678933117693948,-0.2823218303544489,-1.716266619335291,-0.8467399467164018,-0.18133963163825934,-0.8695304323168775,-0.5396315500641222
Rumania,Europe,-0.31470387881570205,-0.30543703879119904,0.596112123902707,0.5083005241226403,0.05408717304486565,0.04169332149968039,-0.32688932650602104,-1.412102453380948,-0.5481963970275816,-0.38485033520305173,-0.9507422511349022,-0.4150838362096016
San Vicente y las Granadinas,North America,-1.379420633566473,1.3211507417536483,0.4959904876164268,0.5270661879846199,-0.7150259007855744,-1.8339951520320183,0.9364569527012035,-0.6098297229717586,-0.6260161830982591,0.5354799680790993,-0.9832269786621121,-1.898826166476502
Santa Lucía,North America,1.6115394103135547,0.5187007700181904,-0.7022078567346914,0.5270661879846199,0.048699340653759235,-1.38772709893966,0.24158331057626614,-0.23147917507733237,-0.4830986385839791,1.21723598644047,-0.9832269786621121,-1.898826166476502
Serbia,Europe,1.3808403601062536,-0.5440032466044433,-5.1886297032826826e-05,0.5270661879846199,-0.156807980549871,0.14457343755608654,-0.01899430522058544,-1.21603844396787,-0.699527762077981,-0.26149878496818624,-0.788318613498853,-1.2273515352608244
Suecia,Europe,-0.21779777371507403,-1.2813897071181075,0.48816338901424206,-2.38735321808405,-0.14064448337655175,0.9955487021551026,-0.3722154183367689,0.6078867463018989,1.475867340072629,-0.03021462827781363,2.5576083218037615,1.258187623835918
Suiza,Europe,-0.6290235197146744,-0.7175059431958937,-0.4308684385256194,-0.30965275996120806,-0.8175871388019927,1.025527014118559,1.065228569241278,0.3492942149678933,3.0391124621351415,0.2072951688925091,2.411427047931317,1.2906783317979669
Suriname,South America,-0.2509334096527082,2.01516152811945,-2.0439030087925305,0.5270661879846199,0.3600390838255511,-1.1410873505130437,-0.21727225086513297,0.20410086745658684,-0.5560297623192032,-0.38117301388328845,0.10501139349941795,0.917035190234404
Trinidad y Tobago,North America,-0.9999238219788522,0.7789548149053659,-0.9490875918119358,0.5270661879846199,-2.254791429129628,-0.1395392008248499,-0.49501309390333464,-0.7348867668136138,-0.018569913550663716,-0.456461329324757,-0.9101363417258899,0.7112607064747614
Ucrania,Europe,0.04916291582020439,-0.11024650512581734,-3.6174759569400923,0.5270661879846199,4.293335063932242,-1.8339951520320183,-0.5777000229334855,-1.1789452529978284,-0.8781442149853098,-0.09559998191956884,-0.7558338859716431,-0.9565956355770834
Uruguay,South America,-0.20904496422211408,0.6922034666096407,-0.5844752485934955,-1.6956828796994183,1.3221520108088385,0.8695035268542077,-0.1176117435134259,-0.408466686277246,-0.15754038157828307,-0.4082690657131229,0.9983414004976887,0.9549410161901278
Venezuela,South America,-0.548060031904795,2.5790452920416636,-0.5919762180872559,0.5269150956829939,-0.5741725682752211,-0.7002698995958592,-0.5570282906759478,0.23801464205776793,-0.9785529049229093,-0.938642023077573,-0.09801815354564367,0.0072953672970344306
